Dates,Total Rating
2016_07_24 16_00,114078
2016_07_24 16_10,114078
2016_07_24 16_20,114078
2016_07_24 16_30,114078
2016_07_24 16_40,114078
2016_07_24 16_50,114078
2016_07_24 17_00,114078
2016_07_24 17_10,114078
2016_07_24 17_20,114078
2016_07_24 17_30,114078
2016_07_24 17_40,114078
2016_07_24 17_50,114078
2016_07_24 18_00,114078
2016_07_24 18_10,114078
2016_07_24 18_20,114078
2016_07_24 18_30,114078
2016_07_24 18_40,114078
2016_07_24 18_50,114078
2016_07_24 19_00,114078
2016_07_24 19_10,114433
2016_07_24 19_20,114433
2016_07_24 19_30,114433
2016_07_24 19_40,114433
2016_07_24 19_50,114433
2016_07_24 20_00,114433
2016_07_24 20_10,114433
2016_07_24 20_20,114433
2016_07_24 20_30,114433
2016_07_24 20_40,114433
2016_07_24 20_50,114433
2016_07_24 21_00,114433
2016_07_24 21_10,114433
2016_07_24 21_20,114433
2016_07_24 21_30,114433
2016_07_24 21_40,114433
2016_07_24 21_50,114433
2016_07_24 22_00,114433
2016_07_24 22_10,114433
2016_07_24 22_20,114433
2016_07_24 22_30,114433
2016_07_24 22_40,114433
2016_07_24 22_50,114433
2016_07_24 23_00,114433
2016_07_24 23_10,114433
2016_07_24 23_20,114769
2016_07_24 23_30,114769
2016_07_24 23_40,114769
2016_07_24 23_50,114769
2016_07_25 00_00,114769
2016_07_25 00_10,114769
2016_07_25 00_20,114769
2016_07_25 00_30,114769
2016_07_25 00_40,114769
2016_07_25 00_50,114769
2016_07_25 01_00,114769
2016_07_25 01_10,114769
2016_07_25 01_20,114769
2016_07_25 01_30,114769
2016_07_25 01_40,114769
2016_07_25 01_50,114769
2016_07_25 02_00,114769
2016_07_25 02_10,114769
2016_07_25 02_20,114769
2016_07_25 02_30,114769
2016_07_25 02_40,114769
2016_07_25 02_50,114769
2016_07_25 03_00,114769
2016_07_25 03_10,114769
2016_07_25 03_20,114769
2016_07_25 03_30,114769
2016_07_25 03_40,114769
2016_07_25 03_50,114769
2016_07_25 04_00,114769
2016_07_25 04_10,114769
2016_07_25 04_20,114769
2016_07_25 04_30,114769
2016_07_25 04_40,114769
2016_07_25 04_50,114769
2016_07_25 05_00,114769
2016_07_25 05_10,114769
2016_07_25 05_20,114769
2016_07_25 05_30,114769
2016_07_25 05_40,114769
2016_07_25 05_50,114769
2016_07_25 06_00,114769
2016_07_25 06_10,114769
2016_07_25 06_20,114769
2016_07_25 06_30,114769
2016_07_25 06_40,114769
2016_07_25 06_50,114769
2016_07_25 07_00,114769
2016_07_25 07_10,114769
2016_07_25 07_20,114769
2016_07_25 07_30,114769
2016_07_25 07_40,115188
2016_07_25 07_50,115188
2016_07_25 08_00,115188
2016_07_25 08_10,115188
2016_07_25 08_20,115188
2016_07_25 08_30,115188
2016_07_25 08_40,115188
2016_07_25 08_50,115188
2016_07_25 09_00,115188
2016_07_25 09_10,115188
2016_07_25 09_20,115188
2016_07_25 09_30,115188
2016_07_25 09_40,115188
2016_07_25 09_50,115188
2016_07_25 10_00,115188
2016_07_25 10_10,115188
2016_07_25 10_20,115188
