Dates,Total Rating
2016_07_23 07_30,1439453
2016_07_23 07_40,1439453
2016_07_23 07_50,1439453
2016_07_23 08_00,1439453
2016_07_23 08_10,1439453
2016_07_23 08_20,1449823
2016_07_23 08_30,1449823
2016_07_23 08_40,1449823
2016_07_23 08_50,1449823
2016_07_23 09_00,1449823
2016_07_23 09_10,1449823
2016_07_23 09_20,1449823
2016_07_23 09_30,1449823
2016_07_23 09_40,1449823
2016_07_23 09_50,1449823
2016_07_23 10_00,1449823
2016_07_23 10_10,1449823
2016_07_23 10_20,1449823
2016_07_23 10_30,1449823
2016_07_23 10_40,1449823
2016_07_23 10_50,1449823
2016_07_23 11_00,1449823
2016_07_23 11_10,1449823
2016_07_23 11_20,1449823
2016_07_23 11_30,1449823
2016_07_23 11_40,1449823
2016_07_23 11_50,1449823
2016_07_23 12_00,1449823
2016_07_23 12_10,1449823
2016_07_23 12_20,1460698
2016_07_23 12_30,1460698
2016_07_23 12_40,1460698
2016_07_23 12_50,1460698
2016_07_23 13_00,1460698
2016_07_23 13_10,1460698
2016_07_23 13_20,1460698
2016_07_23 13_30,1460698
2016_07_23 13_40,1460698
2016_07_23 13_50,1460698
2016_07_23 14_00,1460698
2016_07_23 14_10,1460698
2016_07_23 14_20,1460698
2016_07_23 14_30,1460698
2016_07_23 14_40,1460698
2016_07_23 14_50,1460698
2016_07_23 15_00,1460698
2016_07_23 15_10,1460698
2016_07_23 15_20,1460698
2016_07_23 15_30,1460698
2016_07_23 15_40,1460698
2016_07_23 15_50,1460698
2016_07_23 16_00,1460698
2016_07_23 16_10,1460698
2016_07_23 16_20,1470898
2016_07_23 16_30,1470898
2016_07_23 16_40,1470898
2016_07_23 16_50,1470898
2016_07_23 17_00,1470898
2016_07_23 17_10,1470898
2016_07_23 17_20,1470898
2016_07_23 17_30,1470898
2016_07_23 17_40,1470898
2016_07_23 17_50,1470898
2016_07_23 18_00,1470898
2016_07_23 18_10,1470898
2016_07_23 18_20,1470898
2016_07_23 18_30,1470898
2016_07_23 18_40,1470898
2016_07_23 18_50,1470898
2016_07_23 19_00,1470898
2016_07_23 19_10,1470898
2016_07_23 19_20,1470898
2016_07_23 19_30,1470898
2016_07_23 19_40,1470898
2016_07_23 19_50,1470898
2016_07_23 20_00,1470898
2016_07_23 20_10,1470898
2016_07_23 20_20,1470898
2016_07_23 20_30,1478893
2016_07_23 20_40,1478893
2016_07_23 20_50,1478893
2016_07_23 21_00,1478893
2016_07_23 21_10,1478893
2016_07_23 21_20,1478893
2016_07_23 21_30,1478893
2016_07_23 21_40,1478893
2016_07_23 21_50,1478893
2016_07_23 22_00,1478893
2016_07_23 22_10,1478893
2016_07_23 22_20,1478893
2016_07_23 22_30,1478893
2016_07_23 22_40,1478893
2016_07_23 22_50,1478893
2016_07_23 23_00,1478893
2016_07_23 23_10,1478893
2016_07_23 23_20,1478893
2016_07_23 23_30,1478893
2016_07_23 23_40,1478893
2016_07_23 23_50,1478893
2016_07_24 00_00,1478893
2016_07_24 00_10,1478893
2016_07_24 00_20,1478893
2016_07_24 00_30,1484475
2016_07_24 00_40,1484475
2016_07_24 00_50,1484475
2016_07_24 01_00,1484475
2016_07_24 01_10,1484475
2016_07_24 01_20,1484475
2016_07_24 01_30,1484475
2016_07_24 01_40,1484475
2016_07_24 01_50,1484475
2016_07_24 02_00,1484475
2016_07_24 02_10,1484475
2016_07_24 02_20,1484475
2016_07_24 02_30,1484475
2016_07_24 02_40,1484475
2016_07_24 02_50,1484475
2016_07_24 03_00,1484475
2016_07_24 03_10,1484475
2016_07_24 03_20,1484475
2016_07_24 03_30,1493930
2016_07_24 03_40,1484475
2016_07_24 03_50,1484475
2016_07_24 04_00,1484475
2016_07_24 04_10,1484475
2016_07_24 04_20,1484475
2016_07_24 04_30,1499762
2016_07_24 04_40,1499762
2016_07_24 04_50,1499762
2016_07_24 05_00,1499762
2016_07_24 05_10,1499762
2016_07_24 05_20,1499762
